Species_name_Data,species,Family
Hibiscus syriacus,Hibiscus syriacus,Malvaceae
Hieracium umbellatum agg.,Hieracium umbellatum,Asteraceae
Hyacinthoides non-scripta,Hyacinthoides non-scripta,Asparagaceae
Hymenocallis littoralis,Hymenocallis littoralis,Amaryllidaceae
Iris sibirica,Iris sibirica,Iridaceae
Jacobaea vulgaris,Jacobaea vulgaris,Asteraceae
Laburnum anagyroides,Laburnum anagyroides,Fabaceae
Lachenalia ensifolia,Lachenalia ensifolia,Asparagaceae
Lamium album,Lamium album,Lamiaceae
Lamium maculatum,Lamium maculatum,Lamiaceae
Lamium purpureum,Lamium purpureum,Lamiaceae
Lamprocapnos spectabilis,Lamprocapnos spectabilis,Papaveraceae
Linum usitatissimum,Linum usitatissimum,Linaceae
Lonicera periclymenum,Lonicera periclymenum,Caprifoliaceae
Ludwigia sedioides,Ludwigia sedioides,Onagraceae
Lupinus polyphyllus,Lupinus polyphyllus,Fabaceae
Malus domestica,Malus domestica,Rosaceae
Malva moschata,Malva moschata,Malvaceae
Matucana paucicostata,Matucana paucicostata,Cactaceae
Medicago falcata,Medicago falcata,Fabaceae
Medicago sativa,Medicago sativa,Fabaceae
Mimulus aurantiacus,Mimulus aurantiacus,Phrymaceae
Narcissus cavanillesii,Narcissus cavanillesii,Amaryllidaceae
Narcissus pseudonarcissus,Narcissus pseudonarcissus,Amaryllidaceae
Nerine bowdenii,Nerine bowdenii,Amaryllidaceae
Nerine humilis,Nerine humilis,Amaryllidaceae
Nyctaginaceae,Nyctaginaceae,Nyctaginaceae
Nymphaea alexii,Nymphaea alexii,Nymphaeaceae
Nymphaea macrosperma,Nymphaea macrosperma,Nymphaeaceae
Nymphoides indica,Nymphoides indica,Nymphaeaceae
Oenothera biennis,Oenothera biennis,Onagraceae
Oxalis gigantea,Oxalis gigantea,Oxalidaceae
Paeonia delavayi,Paeonia delavayi,Paeoniaceae
Paeonia peregrina,Paeonia peregrina,Paeoniaceae
Papaver pseudo-orientale,Papaver pseudo-orientale,Papaveraceae
Papaver rhoeas,Papaver rhoeas,Papaveraceae
Parodia schumanniana,Parodia schumanniana,Cactaceae
Penstemon,Penstemon,Plantaginaceae
Petrocosmea,Petrocosmea,Gesneriaceae
Petrocosmea cryptica,Petrocosmea,Gesneriaceae
Phacelia tanacetifolia,Phacelia tanacetifolia,Boraginaceae
Philadelphus,Philadelphus,Hydrangeaceae
Phlomis fruticosa,Phlomis fruticosa,Lamiaceae
Pinus ayacahuite,Pinus ayacahuite,Pinaceae
Plectranthus ernstii,Plectranthus ernstii,Lamiaceae
Polemonium caeruleum,Polemonium caeruleum,Polemoniaceae
Primula verticillata,Primula verticillata,Primulaceae
Prunus avium,Prunus avium,Rosaceae
Prunus spinosa,Prunus spinosa,Rosaceae
Pulmonaria officinalis,Pulmonaria officinalis,Boraginaceae
Rhododendron,Rhododendron,Ericaceae
Romneya coulteri,Romneya coulteri,Papaveraceae
Rubus fruticosus,Rubus fruticosus,Rosaceae
Salix cinerea,Salix cinerea,Salicaceae
Salvia darcyi,Salvia darcyi,Lamiaceae
Salvia koyamae,Salvia koyamae,Lamiaceae
Sambucus nigra,Sambucus nigra,Adoxaceae
Schlumbergera truncata,Schlumbergera truncata,Cactaceae
Scilla madeirensis,Scilla madeirensis,Asparagaceae
Silene dioica,Silene dioica,Caryophyllaceae
Solanum dulcamara,Solanum dulcamara,Solanaceae
Sternbergia sicula,Sternbergia sicula,Amaryllidaceae
Strelitzia reginae,Strelitzia reginae,Strelitziaceae
Symphytum officinale,Symphytum officinale,Boraginaceae
Symphytum uplandicum,Symphytum uplandicum,Boraginaceae
Tanacetum vulgare,Tanacetum vulgare,Asteraceae
Taraxacum officinale,Taraxacum officinale,Asteraceae
Tilia tomentosa,Tilia tomentosa,Malvaceae
Trifolium pratense,Trifolium pratense,Fabaceae
Ulex europaeus,Ulex europaeus,Fabaceae
Verbascum arcturus,Verbascum arcturus,Scrophulariaceae
Weigela,Weigela,Caprifoliaceae
